OPE ID,School,City,State,Zip Code,Full Address,lat,lon,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,avg_loans_originated,# of Disbursements,$ of Disbursements,avg_loans_disbursed
2334,AUGSBURG UNIVERSITY,MINNEAPOLIS,MN,55454,MINNEAPOLIS MN 55454 ,44.97,-93.25,Private-Nonprofit,Total,26567,26651,210312379,7891.350381,26651,89028466,3340.530036
40213,AUGUSTA SCHOOL OF MASSAGE,EVANS,GA,30809,EVANS GA 30809 ,33.52,-82.15,Proprietary,Total,60,72,178608,2480.666667,72,99624,1383.666667
1579,AUGUSTA UNIVERSITY,AUGUSTA,GA,30912,AUGUSTA GA 30912 ,33.47,-81.99,Public,Total,75083,77565,969480088,12498.93751,77565,471505924,6078.849017
1633,AUGUSTANA COLLEGE,ROCK ISLAND,IL,61201,ROCK ISLAND IL 61201 ,41.52,-90.56,Private-Nonprofit,Total,27214,27917,142070332,5089.025755,27917,71757687,2570.393918
3458,AUGUSTANA UNIVERSITY,SIOUX FALLS,SD,57197,SIOUX FALLS SD 57197 ,43.52,-96.74,Private-Nonprofit,Total,17302,17748,87649369,4938.549076,17748,44978453,2534.282905
37763,AUGUSTE ESCOFFIER SCHOOL OF CULINARY ARTS,BOULDER,CO,80305,BOULDER CO 80305 ,39.98,-105.25,Proprietary,Total,38804,38928,167878786,4312.54588,39180,84854132,2165.7512
37276,AUGUSTE ESCOFFIER SCHOOL OF CULINARY ARTS,AUSTIN,TX,78752,AUSTIN TX 78752 ,30.32,-97.71,Proprietary,Total,4514,4514,23164770,5131.761187,4542,11521017,2536.551519
1634,AURORA UNIVERSITY,AURORA,IL,60506,AURORA IL 60506 ,41.78,-88.31,Private-Nonprofit,Total,53428,53428,412697558,7724.368458,53428,215310730,4029.923074
3543,AUSTIN COLLEGE,SHERMAN,TX,75090,SHERMAN TX 75090 ,33.61,-96.60,Private-Nonprofit,Total,12060,12556,65861546,5245.42418,12556,33353883,2656.409924
12015,AUSTIN COMMUNITY COLLEGE,AUSTIN,TX,78752,AUSTIN TX 78752 ,30.32,-97.71,Public,Total,62983,64639,283705830,4389.08136,64639,141920561,2195.5872
42035,AUSTIN KADE ACADEMY,IDAHO FALLS,ID,83404,IDAHO FALLS ID 83404 ,43.47,-111.99,Proprietary,Total,192,192,600568,3127.958333,192,300312,1564.125
3478,AUSTIN PEAY STATE UNIVERSITY,CLARKSVILLE,TN,37044,CLARKSVILLE TN 37044 ,36.59,-87.29,Public,Total,68134,68149,405872553,5955.664104,68169,207803245,3048.354017
41420,AUSTIN'S BEAUTY COLLEGE,CLARKSVILLE,TN,37040,CLARKSVILLE TN 37040 ,36.59,-87.29,Proprietary,Total,52,52,297336,5718,52,148664,2858.923077
11621,AUTOMOTIVE TRAINING CENTER,EXTON,PA,19341,EXTON PA 19341 ,40.03,-75.63,Proprietary,Total,1315,1315,5108368,3884.690494,1403,2583099,1841.125445
10858,AVALON SCHOOL OF COSMETOLOGY,MESA,AZ,85210,MESA AZ 85210 ,33.40,-111.82,Proprietary,Total,2473,2473,8318825,3363.859685,2568,4248061,1654.229361
30274,AVALON SCHOOL OF COSMETOLOGY,AURORA,CO,80014,AURORA CO 80014 ,39.66,-104.86,Proprietary,Total,633,633,2013311,3180.586098,653,1021931,1564.97856
39413,AVE MARIA UNIVERSITY,AVE MARIA,FL,34142,AVE MARIA FL 34142 ,26.34,-81.44,Private-Nonprofit,Total,9814,10089,55205172,5471.81802,10089,27999162,2775.216771
41423,AVEDA ARTS & SCIENCES INSTITUTE CORPUS CHRISTI,CORPUS CHRISTI,TX,78404,CORPUS CHRISTI TX 78404 ,27.73,-97.31,Proprietary,Total,885,885,3272379,3697.60339,905,1672148,1847.677348
